"No.","Time","Source","Destination","Protocol","Length","Info"
"17","9.121710849","10.29.230.57","34.120.208.123","TCP","66","58300  >  443 [ACK] Seq=79 Ack=2 Win=501 Len=0 TSval=3272091634 TSecr=2156960241"
"18","14.108550584","10.29.230.57","104.17.25.14","TLSv1.2","105","Application Data"
"19","14.108717356","10.29.230.57","104.17.25.14","TLSv1.2","90","Application Data"
"20","14.108730649","10.29.230.57","104.17.25.14","TCP","66","43586  >  443 [FIN, ACK] Seq=64 Ack=1 Win=5974 Len=0 TSval=2207008895 TSecr=1983186744"
"21","14.129022058","104.17.25.14","10.29.230.57","TCP","66","443  >  43586 [ACK] Seq=1 Ack=64 Win=8 Len=0 TSval=1983239723 TSecr=2207008895"
"22","14.129246275","104.17.25.14","10.29.230.57","TCP","66","443  >  43586 [FIN, ACK] Seq=1 Ack=65 Win=8 Len=0 TSval=1983239723 TSecr=2207008895"
"23","14.129259675","10.29.230.57","104.17.25.14","TCP","66","43586  >  443 [ACK] Seq=65 Ack=2 Win=5974 Len=0 TSval=2207008916 TSecr=1983239723"
"24","15.108697135","10.29.230.57","172.67.207.104","TLSv1.2","105","Application Data"
"25","15.108869433","10.29.230.57","172.67.207.104","TLSv1.2","90","Application Data"
"26","15.108882948","10.29.230.57","172.67.207.104","TCP","66","44404  >  443 [FIN, ACK] Seq=64 Ack=1 Win=592 Len=0 TSval=2320013119 TSecr=748421811"
"27","15.129030695","172.67.207.104","10.29.230.57","TCP","66","443  >  44404 [ACK] Seq=1 Ack=65 Win=8 Len=0 TSval=748474790 TSecr=2320013119"
"28","15.129262503","172.67.207.104","10.29.230.57","TCP","66","443  >  44404 [FIN, ACK] Seq=1 Ack=65 Win=8 Len=0 TSval=748474790 TSecr=2320013119"
"29","15.129276997","10.29.230.57","172.67.207.104","TCP","66","44404  >  443 [ACK] Seq=65 Ack=2 Win=592 Len=0 TSval=2320013140 TSecr=748474790"
"30","15.598391391","fe80::ed08:1905:e00a:af72","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"31","15.598444249","10.29.230.57","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"32","17.096840448","54.149.203.40","10.29.230.57","TLSv1.2","97","Application Data"
"33","17.096874976","10.29.230.57","54.149.203.40","TCP","66","41724  >  443 [ACK] Seq=1 Ack=32 Win=501 Len=0 TSval=3751530281 TSecr=3455506294"
"34","17.097036254","10.29.230.57","54.149.203.40","TLSv1.2","101","Application Data"
"35","17.294092635","54.149.203.40","10.29.230.57","TCP","66","443  >  41724 [ACK] Seq=32 Ack=36 Win=120 Len=0 TSval=3455506491 TSecr=3751530282"
"36","39.109026659","10.29.230.57","140.82.121.3","TLSv1.2","105","Application Data"
"37","39.109090012","10.29.230.57","185.199.109.133","TLSv1.2","105","Application Data"
"38","39.109240992","10.29.230.57","185.199.109.133","TLSv1.2","90","Application Data"
"39","39.109253727","10.29.230.57","185.199.109.133","TCP","66","58086  >  443 [FIN, ACK] Seq=64 Ack=1 Win=23858 Len=0 TSval=548597952 TSecr=2184608956"
"40","39.109622281","10.29.230.57","140.82.121.3","TLSv1.2","90","Application Data"
"41","39.109633332","10.29.230.57","140.82.121.3","TCP","66","58222  >  443 [FIN, ACK] Seq=64 Ack=1 Win=501 Len=0 TSval=3273923613 TSecr=2071003096"
"42","39.122394581","185.199.109.133","10.29.230.57","TCP","66","443  >  58086 [ACK] Seq=1 Ack=40 Win=286 Len=0 TSval=2184661934 TSecr=548597952"
"43","39.122638504","185.199.109.133","10.29.230.57","TCP","66","443  >  58086 [ACK] Seq=1 Ack=64 Win=286 Len=0 TSval=2184661935 TSecr=548597952"
"44","39.122638560","185.199.109.133","10.29.230.57","TCP","66","443  >  58086 [ACK] Seq=1 Ack=65 Win=286 Len=0 TSval=2184661935 TSecr=548597952"
"45","39.122638589","185.199.109.133","10.29.230.57","TLSv1.2","90","Application Data"
"46","39.122638624","185.199.109.133","10.29.230.57","TCP","66","443  >  58086 [FIN, ACK] Seq=25 Ack=65 Win=286 Len=0 TSval=2184661935 TSecr=548597952"
"47","39.122670322","10.29.230.57","185.199.109.133","TCP","54","58086  >  443 [RST] Seq=65 Win=0 Len=0"
"48","39.122710068","10.29.230.57","185.199.109.133","TCP","54","58086  >  443 [RST] Seq=65 Win=0 Len=0"
"49","39.140472340","140.82.121.3","10.29.230.57","TCP","66","443  >  58222 [ACK] Seq=1 Ack=65 Win=68 Len=0 TSval=2071056075 TSecr=3273923612"
"50","39.140689444","140.82.121.3","10.29.230.57","TCP","66","443  >  58222 [FIN, ACK] Seq=1 Ack=65 Win=68 Len=0 TSval=2071056075 TSecr=3273923612"
"51","39.140703407","10.29.230.57","140.82.121.3","TCP","66","58222  >  443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=3273923644 TSecr=2071056075"
"52","42.109409660","10.29.230.57","142.250.178.142","TLSv1.2","105","Application Data"
"53","42.109550392","10.29.230.57","142.250.178.142","TLSv1.2","90","Application Data"
"54","42.123353900","142.250.178.142","10.29.230.57","TCP","66","443  >  46398 [ACK] Seq=1 Ack=65 Win=273 Len=0 TSval=1288417925 TSecr=154789256"
"55","42.123354118","142.250.178.142","10.29.230.57","TCP","66","443  >  46398 [FIN, ACK] Seq=1 Ack=65 Win=273 Len=0 TSval=1288417925 TSecr=154789256"
"56","42.123404605","10.29.230.57","142.250.178.142","TCP","66","46398  >  443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=154789270 TSecr=1288417925"
"57","60.905952262","10.29.230.57","178.128.242.134","TCP","66","[TCP Keep-Alive] 51316  >  3333 [ACK] Seq=469 Ack=489 Win=64128 Len=0 TSval=3933293005 TSecr=3996339901"
"58","60.932777126","178.128.242.134","10.29.230.57","TCP","66","[TCP Keep-Alive ACK] 3333  >  51316 [ACK] Seq=489 Ack=470 Win=64128 Len=0 TSval=3996400777 TSecr=3933232156"
"59","61.025420657","10.29.230.57","178.128.242.134","TCP","148","51316  >  3333 [PSH, ACK] Seq=470 Ack=489 Win=64128 Len=82 TSval=3933293125 TSecr=3996400777"
"60","61.052296687","178.128.242.134","10.29.230.57","TCP","137","3333  >  51316 [PSH, ACK] Seq=489 Ack=552 Win=64128 Len=71 TSval=3996400896 TSecr=3933293125"
"61","61.052336295","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=552 Ack=560 Win=64128 Len=0 TSval=3933293152 TSecr=3996400896"
"62","79.662308480","fe80::ed08:1905:e00a:af72","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"63","79.662357310","10.29.230.57","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"64","122.052165530","10.29.230.57","178.128.242.134","TCP","148","51316  >  3333 [PSH, ACK] Seq=552 Ack=560 Win=64128 Len=82 TSval=3933354152 TSecr=3996400896"
"65","122.079208741","178.128.242.134","10.29.230.57","TCP","137","3333  >  51316 [PSH, ACK] Seq=560 Ack=634 Win=64128 Len=71 TSval=3996461922 TSecr=3933354152"
"66","122.079235081","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=634 Ack=631 Win=64128 Len=0 TSval=3933354179 TSecr=3996461922"
"67","127.209943702","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"68","127.221757656","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"69","182.088175638","10.29.230.57","178.128.242.134","TCP","148","51316  >  3333 [PSH, ACK] Seq=634 Ack=631 Win=64128 Len=82 TSval=3933414188 TSecr=3996461922"
"70","182.115084793","178.128.242.134","10.29.230.57","TCP","137","3333  >  51316 [PSH, ACK] Seq=631 Ack=716 Win=64128 Len=71 TSval=3996521957 TSecr=3933414188"
"71","182.115111253","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=716 Ack=702 Win=64128 Len=0 TSval=3933414215 TSecr=3996521957"
"72","207.742289114","fe80::ed08:1905:e00a:af72","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"73","207.742338158","10.29.230.57","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"74","221.178766169","10.29.230.57","10.29.228.2","DHCP","330","DHCP Request  - Transaction ID 0xfd4fc022"
"75","221.200929339","10.29.228.2","10.29.230.57","DHCP","446","DHCP ACK      - Transaction ID 0xfd4fc022"
"76","221.201095665","10.29.228.2","10.29.230.57","DHCP","446","DHCP ACK      - Transaction ID 0xfd4fc022"
"77","226.281976769","RealtekU_4c:cc:50","Cisco_f9:60:c0","ARP","42","Who has 10.29.228.2? Tell 10.29.230.57"
"78","226.301121946","Cisco_f9:60:c0","RealtekU_4c:cc:50","ARP","60","10.29.228.2 is at 00:23:eb:f9:60:c0"
"79","242.148213743","10.29.230.57","178.128.242.134","TCP","148","51316  >  3333 [PSH, ACK] Seq=716 Ack=702 Win=64128 Len=82 TSval=3933474248 TSecr=3996521957"
"80","242.175169270","178.128.242.134","10.29.230.57","TCP","137","3333  >  51316 [PSH, ACK] Seq=702 Ack=798 Win=64128 Len=71 TSval=3996582016 TSecr=3933474248"
"81","242.175194623","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=798 Ack=773 Win=64128 Len=0 TSval=3933474275 TSecr=3996582016"
"82","247.273966675","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"83","247.278289093","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"84","302.200318273","10.29.230.57","178.128.242.134","TCP","148","51316  >  3333 [PSH, ACK] Seq=798 Ack=773 Win=64128 Len=82 TSval=3933534300 TSecr=3996582016"
"85","302.227348505","178.128.242.134","10.29.230.57","TCP","137","3333  >  51316 [PSH, ACK] Seq=773 Ack=880 Win=64128 Len=71 TSval=3996642067 TSecr=3933534300"
"86","302.227385589","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=880 Ack=844 Win=64128 Len=0 TSval=3933534327 TSecr=3996642067"
"87","304.080438926","10.29.230.57","192.44.75.10","DNS","84","Standard query 0x1e38 A api.qwant.com OPT"
"88","304.080454859","10.29.230.57","192.44.75.10","DNS","84","Standard query 0xc335 AAAA api.qwant.com OPT"
"89","304.081297882","192.44.75.10","10.29.230.57","DNS","367","Standard query response 0x1e38 A api.qwant.com A 194.187.168.106 NS gns22.cloudns.net NS gns23.cloudns.net NS gns24.cloudns.net NS gns21.cloudns.net A 185.136.96.98 A 185.136.97.98 A 185.136.98.98 A 185.136.99.98 AAAA 2a06:fb00:1::1:98 AAAA 2a06:fb00:1::2:98 AAAA 2a06:fb00:1::3:98 AAAA 2a06:fb00:1::4:98 OPT"
"90","304.081298049","192.44.75.10","10.29.230.57","DNS","145","Standard query response 0xc335 AAAA api.qwant.com SOA gns21.cloudns.net OPT"
"91","304.082196491","10.29.230.57","192.44.75.10","DNS","84","Standard query 0x657b A api.qwant.com OPT"
"92","304.082983655","192.44.75.10","10.29.230.57","DNS","367","Standard query response 0x657b A api.qwant.com A 194.187.168.106 NS gns22.cloudns.net NS gns21.cloudns.net NS gns23.cloudns.net NS gns24.cloudns.net A 185.136.96.98 A 185.136.97.98 A 185.136.98.98 A 185.136.99.98 AAAA 2a06:fb00:1::1:98 AAAA 2a06:fb00:1::2:98 AAAA 2a06:fb00:1::3:98 AAAA 2a06:fb00:1::4:98 OPT"
"93","304.084253336","10.29.230.57","194.187.168.106","TCP","74","59170  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2022933504 TSecr=0 WS=128"
"94","304.097847671","194.187.168.106","10.29.230.57","TCP","74","443  >  59170 [SYN, ACK] Seq=0 Ack=1 Win=26960 Len=0 MSS=1360 SACK_PERM=1 TSval=1927532066 TSecr=2022933504 WS=256"
"95","304.097904180","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2022933517 TSecr=1927532066"
"96","304.099729541","10.29.230.57","194.187.168.106","TLSv1.2","636","Client Hello"
"97","304.114106004","194.187.168.106","10.29.230.57","TLSv1.2","1414","Server Hello"
"98","304.114148983","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=571 Ack=1349 Win=64128 Len=0 TSval=2022933534 TSecr=1927532070"
"99","304.114335006","194.187.168.106","10.29.230.57","TLSv1.2","1879","Certificate, Server Key Exchange, Server Hello Done"
"100","304.114340475","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=571 Ack=3162 Win=63616 Len=0 TSval=2022933534 TSecr=1927532070"
"101","304.120585852","10.29.230.57","194.187.168.106","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"102","304.120978834","10.29.230.57","194.187.168.106","TLSv1.2","243","Application Data"
"103","304.120997448","10.29.230.57","194.187.168.106","TLSv1.2","340","Application Data"
"104","304.134327501","194.187.168.106","10.29.230.57","TCP","66","443  >  59170 [ACK] Seq=3162 Ack=1148 Win=30464 Len=0 TSval=1927532075 TSecr=2022933540"
"105","304.134981097","194.187.168.106","10.29.230.57","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"106","304.134995666","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1148 Ack=3420 Win=64128 Len=0 TSval=2022933554 TSecr=1927532075"
"107","304.135238636","194.187.168.106","10.29.230.57","TLSv1.2","119","Application Data"
"108","304.135244760","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1148 Ack=3473 Win=64128 Len=0 TSval=2022933555 TSecr=1927532075"
"109","304.136598950","10.29.230.57","194.187.168.106","TLSv1.2","104","Application Data"
"110","304.139072844","194.187.168.106","10.29.230.57","TLSv1.2","1302","Application Data"
"111","304.139091277","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1186 Ack=4709 Win=64128 Len=0 TSval=2022933559 TSecr=1927532076"
"112","304.192395271","194.187.168.106","10.29.230.57","TCP","66","443  >  59170 [ACK] Seq=4709 Ack=1186 Win=30464 Len=0 TSval=1927532090 TSecr=2022933556"
"113","304.840239587","10.29.230.57","194.187.168.106","TLSv1.2","162","Application Data"
"114","304.853501423","194.187.168.106","10.29.230.57","TCP","66","443  >  59170 [ACK] Seq=4709 Ack=1282 Win=30464 Len=0 TSval=1927532255 TSecr=2022934260"
"115","304.869913517","194.187.168.106","10.29.230.57","TLSv1.2","1228","Application Data"
"116","304.869967261","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1282 Ack=5871 Win=64128 Len=0 TSval=2022934289 TSecr=1927532258"
"117","305.031532350","10.29.230.57","194.187.168.106","TLSv1.2","163","Application Data"
"118","305.059730354","194.187.168.106","10.29.230.57","TLSv1.2","1229","Application Data"
"119","305.059757123","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1379 Ack=7034 Win=64128 Len=0 TSval=2022934479 TSecr=1927532306"
"120","306.016838037","10.29.230.57","194.187.168.106","TLSv1.2","192","Application Data"
"121","306.037461454","194.187.168.106","10.29.230.57","TLSv1.2","1189","Application Data"
"122","306.037516597","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1505 Ack=8157 Win=64128 Len=0 TSval=2022935457 TSecr=1927532551"
"123","306.180436852","10.29.230.57","194.187.168.106","TLSv1.2","190","Application Data"
"124","306.201249707","194.187.168.106","10.29.230.57","TLSv1.2","1194","Application Data"
"125","306.201275094","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1629 Ack=9285 Win=64128 Len=0 TSval=2022935621 TSecr=1927532592"
"126","308.180269190","10.29.230.57","192.44.75.10","DNS","86","Standard query 0x14b5 A wiki.ubuntu.com OPT"
"127","308.180292491","10.29.230.57","192.44.75.10","DNS","86","Standard query 0xa0ab AAAA wiki.ubuntu.com OPT"
"128","308.202623983","192.44.75.10","10.29.230.57","DNS","326","Standard query response 0xa0ab AAAA wiki.ubuntu.com AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::2a NS ns3.canonical.com NS ns2.canonical.com NS ns1.canonical.com A 91.189.94.173 A 185.125.190.66 A 185.125.190.65 A 91.189.91.139 AAAA 2620:2d:4000:1::43 AAAA 2620:2d:4000:1::44 OPT"
"129","308.202864764","192.44.75.10","10.29.230.57","DNS","334","Standard query response 0x14b5 A wiki.ubuntu.com A 91.189.91.48 A 185.125.190.17 A 91.189.91.49 A 185.125.190.18 NS ns3.canonical.com NS ns1.canonical.com NS ns2.canonical.com A 91.189.94.173 A 185.125.190.65 A 185.125.190.66 A 91.189.91.139 AAAA 2620:2d:4000:1::44 AAAA 2620:2d:4000:1::43 OPT"
"130","308.203135255","10.29.230.57","91.189.91.48","TCP","74","50868  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=731145438 TSecr=0 WS=128"
"131","308.219511816","10.29.230.57","194.187.168.106","TLSv1.2","161","Application Data"
"132","308.236027787","194.187.168.106","10.29.230.57","TLSv1.2","1293","Application Data"
"133","308.236055504","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1724 Ack=10512 Win=64128 Len=0 TSval=2022937656 TSecr=1927533100"
"134","308.292156766","91.189.91.48","10.29.230.57","TCP","74","80  >  50868 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3578022297 TSecr=731145438 WS=128"
"135","308.292196859","10.29.230.57","91.189.91.48","TCP","66","50868  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=731145527 TSecr=3578022297"
"136","308.405410700","10.29.230.57","194.187.168.106","TLSv1.2","162","Application Data"
"137","308.423143314","194.187.168.106","10.29.230.57","TLSv1.2","1316","Application Data"
"138","308.423169406","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1820 Ack=11762 Win=64128 Len=0 TSval=2022937843 TSecr=1927533147"
"139","308.579806755","10.29.230.57","194.187.168.106","TLSv1.2","163","Application Data"
"140","308.607901194","194.187.168.106","10.29.230.57","TLSv1.2","1311","Application Data"
"141","308.607933091","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=1917 Ack=13007 Win=64128 Len=0 TSval=2022938027 TSecr=1927533193"
"142","308.851332066","10.29.230.57","194.187.168.106","TLSv1.2","164","Application Data"
"143","308.868883683","194.187.168.106","10.29.230.57","TLSv1.2","1349","Application Data"
"144","308.868909017","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=2015 Ack=14290 Win=64128 Len=0 TSval=2022938288 TSecr=1927533259"
"145","309.251732148","10.29.230.57","194.187.168.106","TLSv1.2","164","Application Data"
"146","309.268602299","194.187.168.106","10.29.230.57","TLSv1.2","1358","Application Data"
"147","309.268629252","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=2113 Ack=15582 Win=64128 Len=0 TSval=2022938688 TSecr=1927533358"
"148","309.433758715","10.29.230.57","194.187.168.106","TLSv1.2","165","Application Data"
"149","309.452204533","194.187.168.106","10.29.230.57","TLSv1.2","1359","Application Data"
"150","309.452238253","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=2212 Ack=16875 Win=64128 Len=0 TSval=2022938872 TSecr=1927533404"
"151","309.684567293","10.29.230.57","194.187.168.106","TLSv1.2","166","Application Data"
"152","309.701432679","194.187.168.106","10.29.230.57","TLSv1.2","1359","Application Data"
"153","309.701456995","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=2312 Ack=18168 Win=64128 Len=0 TSval=2022939121 TSecr=1927533467"
"154","309.986510518","10.29.230.57","194.187.168.106","TLSv1.2","166","Application Data"
"155","310.003477666","194.187.168.106","10.29.230.57","TLSv1.2","1360","Application Data"
"156","310.003502366","10.29.230.57","194.187.168.106","TCP","66","59170  >  443 [ACK] Seq=2412 Ack=19462 Win=64128 Len=0 TSval=2022939423 TSecr=1927533542"
"157","310.348575333","10.29.230.57","192.44.75.10","DNS","102","Standard query 0x9ebc A wikipedia.priv.enst-bretagne.fr OPT"
"158","310.348591635","10.29.230.57","192.44.75.10","DNS","102","Standard query 0x1080 AAAA wikipedia.priv.enst-bretagne.fr OPT"
"159","310.349353068","192.44.75.10","10.29.230.57","DNS","157","Standard query response 0x9ebc No such name A wikipedia.priv.enst-bretagne.fr SOA univers.enst-bretagne.fr OPT"
"160","310.349353290","192.44.75.10","10.29.230.57","DNS","157","Standard query response 0x1080 No such name AAAA wikipedia.priv.enst-bretagne.fr SOA univers.enst-bretagne.fr OPT"
"161","310.349447590","10.29.230.57","192.44.75.10","DNS","100","Standard query 0xc056 A wikipedia.telecom-bretagne.eu OPT"
"162","310.349456959","10.29.230.57","192.44.75.10","DNS","100","Standard query 0xe251 AAAA wikipedia.telecom-bretagne.eu OPT"
"163","310.350138388","192.44.75.10","10.29.230.57","DNS","171","Standard query response 0xc056 No such name A wikipedia.telecom-bretagne.eu SOA univers.enst-bretagne.fr OPT"
"164","310.350138447","192.44.75.10","10.29.230.57","DNS","171","Standard query response 0xe251 No such name AAAA wikipedia.telecom-bretagne.eu SOA univers.enst-bretagne.fr OPT"
"165","310.350197110","10.29.230.57","192.44.75.10","DNS","101","Standard query 0x0eb6 A wikipedia.svc.enst-bretagne.fr OPT"
"166","310.350205316","10.29.230.57","192.44.75.10","DNS","101","Standard query 0x8ca8 AAAA wikipedia.svc.enst-bretagne.fr OPT"
"167","310.350921172","192.44.75.10","10.29.230.57","DNS","156","Standard query response 0x0eb6 No such name A wikipedia.svc.enst-bretagne.fr SOA univers.enst-bretagne.fr OPT"
"168","310.350921209","192.44.75.10","10.29.230.57","DNS","156","Standard query response 0x8ca8 No such name AAAA wikipedia.svc.enst-bretagne.fr SOA univers.enst-bretagne.fr OPT"
"169","310.350988711","10.29.230.57","192.44.75.10","DNS","80","Standard query 0x53a4 A wikipedia OPT"
"170","310.350995625","10.29.230.57","192.44.75.10","DNS","80","Standard query 0xaaa6 AAAA wikipedia OPT"
"171","310.364901294","192.44.75.10","10.29.230.57","DNS","155","Standard query response 0x53a4 No such name A wikipedia SOA a.root-servers.net OPT"
"172","310.365126859","192.44.75.10","10.29.230.57","DNS","155","Standard query response 0xaaa6 No such name AAAA wikipedia SOA a.root-servers.net OPT"
"173","310.365304889","10.29.230.57","192.44.75.10","DNS","102","Standard query 0x0d5b A wikipedia.priv.enst-bretagne.fr OPT"
"174","310.365315086","10.29.230.57","192.44.75.10","DNS","102","Standard query 0xd05e AAAA wikipedia.priv.enst-bretagne.fr OPT"
"175","310.366013485","192.44.75.10","10.29.230.57","DNS","157","Standard query response 0x0d5b No such name A wikipedia.priv.enst-bretagne.fr SOA univers.enst-bretagne.fr OPT"
